corp_code,corp_name,year,A_SIZE,LEV,TQ,stock_code,FOR,MSE,ROA,ADV,SGR,R&D,ESG,E,S,G
139889,SKC,2019,29.01053976168577,56.547225663953185,104.72914674193663,11790,8.02,41.7,1.6962617123056924,15.171418322410343,-823.9938504516324,,B+,B+,A+,B
144164,SK가스,2019,29.03771041006925,59.317687525779895,78.26221502932762,18670,6.18,65.5,3.7751801374837397,21.276003546888813,-2810.969691434211,,A,B+,A+,A
131780,SK네트웍스,2019,29.94738800222135,77.26299595256704,91.80355987076146,1740,16.84,40.33,-1.2093476409174602,38.7659488411428,322.9822574335533,,A,B+,A+,A
131832,SK디스커버리,2019,29.240480422517592,53.53670236134229,63.49328751133826,6120,12.05,45.11,5.003827752848586,23.693956906709627,-2764.1691425254203,1.4332449856045077,A,B,A,A
508344,SK디앤디,2019,27.965299967892943,74.12725956982847,113.68634508673988,210980,3.76,29.37,3.2144202949772516,3501.219216921244,-1919.9987674597662,,B,C,B,B+
631518,SK이노베이션,2019,31.30798123129169,53.93007720690481,89.02043478521095,96770,34.38,33.41,0.1664081763935728,15.200935922801673,-800.4921136204505,0.04561503796864099,A,A,A,A
131850,SK증권,2019,,,,1510,6.05,19.44,,,,,B,D,A,B
1267170,SK케미칼,2019,28.387945191738783,66.28497406181219,101.53599993416339,285130,6.38,36.37,0.23556467864913402,128.3590786183387,434.7851285088734,139.0735784604915,B+,B+,A,B+
159023,SK텔레콤,2019,31.429015479137,48.83948173144127,91.91677688010432,17670,37.16,26.78,1.9321019949510914,,515.4344326998523,35.97896312731131,A,A+,A,A
164779,SK하이닉스,2019,31.80216457651272,26.00159062825834,131.73636075395189,660,50.47,20.07,3.1122190891010817,34.37920711527175,-3326.5696735418855,16.15628593710293,A,A,A+,A
134477,SNT다이내믹스,2019,27.45830187160193,26.655151621350097,52.77913202182929,3570,12.27,39.05,1.9783714019079646,12.685558470416433,-533.5798286779301,2677.350382356557,B+,B+,B+,B+
398792,SNT모티브,2019,27.669189350505125,29.159233944314938,89.33205662033224,64960,29.19,37.21,0.3560070242935217,10.923860438741535,624.260222203032,147.1676401244038,B+,B,B+,B+
648721,SNT에너지,2019,26.53409910162153,26.637634458759617,71.15219235734901,100840,2.54,55.86,4.627852821950608,1.5920649313927184,5290.441330592945,34.349516932598654,B+,B,B,B+
225159,SNT홀딩스,2019,28.43601330375857,27.305928634763283,38.56793967146132,36530,10.68,62.52,5.5667042035584355,10.848668733803086,790.7406752886121,17.93797955075147,B+,C,B+,B+
125530,SPC삼립,2019,27.81024877974937,73.02185116325833,135.9202835206749,5610,3.44,73.55,1.6917618931579603,46.804930480642966,1256.6439941497715,13.497757060244256,B+,B,A,B
138297,STX,2019,27.05139367385236,89.9499559905518,118.16108083276946,11810,0.13,83.68,-5.930652536033294,1.0807768542460257,-211.71867982714397,,B,C,B+,B
480455,STX엔진,2019,27.4427317873548,71.33363512901767,90.16573039022182,77970,,84.42,2.459876263769428,5.375953148337395,576.4487431754566,128.68133073919765,B+,B+,B+,B
132211,SUN&L,2019,27.021394786249925,60.114127669378426,70.18096154212344,2820,1.89,46.28,-7.352182571174323,6.526636241605556,-1891.359879991181,19.33420326610299,B+,B,B,B+
117300,TCC스틸,2019,26.473327667026613,62.813690831954794,82.15476308025234,2710,1.62,47.65,1.6031525639308684,625.7038420122171,580.8083284060705,330.5320820763738,C,B,B,C
154329,TP,2019,27.14215154415332,69.94516138719817,91.47009206551276,7980,3.67,31.47,1.8315882417662286,9.17824437098644,-4.248974323651764,5.139799969055344,C,D,B+,B
